id,subaccount,parent_account
1460,Michigan Medicine,1.0
1458,Ready-Made Template,1.0
116,School Of Art And Design,1.0
1314,ADVANCE Program,1.0
874,Navy Officer Education Program,1.0
1421,Digital Media Commons (DMC),1.0
976,Ross Sch Erb Institute,1.0
1155,Taubman Health Sciences Library,1.0
502,Army Officer Education Program,1.0
1215,U-M Human Resources,1.0
1205,Wolverine Pathways,1.0
1057,Non Academic Program Courses,1.0
306,Test Account,1.0
107,Center for Academic Innovation,1.0
1180,Facilities and Operations Services,1.0
118,Law School,1.0
1153,Division of Public Safety and Security,1.0
52,School Of Nursing,1.0
1105,University Human Resources,1.0
1062,Shared Services Center,1.0
1224,Wolverine Wellness,1.0
89,Student Life,1.0
1055,Practice Course Sub-Account,1.0
1232,U-M Library,1.0
47,School of Kinesiology,1.0
113,College Of Engineering,1.0
303,Center for Research on Learning & Teaching,1.0
126,Office Of The President,1.0
1164,Institute of Continuing Legal Education (ICLE),1.0
1176,Office of Research & Sponsored Programs,1.0
125,Office Of Vp For Research,1.0
124,Registrar's Office,1.0
112,"College of Lit, Sci, and Arts",1.0
90,ITS,1.0
1212,Mcity,1.0
1246,Graham Sustainability Institute,1.0
1066,Migration Sandboxes,1.0
114,Medical School,1.0
56,School of Business Admin,1.0
1200,Student Study Groups,1.0
1119,Unizin EAP,1.0
55,Fall 2014 Pilot Instructors,1.0
1203,Respondus Test Account,1.0
46,College Of Pharmacy,1.0
1190,University of Michigan Catalog,1.0
51,School of Information,1.0
1430,Undergrad Research  Opportunity Prg (UROP),1.0
1288,Reports,1.0
1170,Athletic Department,1.0
1112,Data,1.0
45,"School of Music, Theatre & Dance",1.0
123,Off Provost & Exec Vp Acad Aff,1.0
120,School Of Public Health,1.0
50,Marsal Family School Of Education,1.0
1059,Migrated Courses,1.0
501,Air Force Officer Education Pg,1.0
1437,Master Templates,1.0
109,JZ Admin Test,1.0
115,College of Arch & Urb Planning,1.0
49,School Of Social Work,1.0
1245,Interprofessional Education,1.0
1247,Survey Research Operations (SRO),1.0
1306,Conference & Event Services,1.0
121,School Of Public Policy,1.0
1192,Placement Exams,1.0
1301,Office of New Student Programs,1.0
119,School for Environment and Sustainability,1.0
1309,Conferences & Events,1.0
2,Manually-Created Courses,1.0
1072,Google Analytics (for courses using GA to track content views),1.0
122,Graduate School,1.0
1213,Michigan Medicine Nursing Professional Development & Education,1.0
117,School Of Dentistry,1.0
54,Medical School (UMMS),1.0
1286,Institute for Social Research,1.0
36,Pilot,1.0
1304,ICPSR Courses,1286.0
1297,Sandbox,1296.0
1450,ONSP Other,1301.0
1445,Advisors 2021 Orientation,1301.0
1449,ONSP 2020 Orientation,1301.0
1303,Advisors 2020 Orientation,1301.0
1474,Advisors 2023 Orientation,1301.0
1462,Advisors 2022 Orientation,1301.0
1463,ONSP 2022 Orientation,1301.0
1447,ONSP 2021 Orientation,1301.0
1426,Taubman Orientation Program,1303.0
1310,Intergroup Relations (Branded),1309.0
1597,EPID Summer Session,286.0
731,RCGD-Elections & Ethnicity,1057.0
687,Career Planning And Placement,1057.0
849,Pediatrics-Nephrology,1057.0
839,Coe Meam Academic Services Off,1057.0
677,SRC-Ds-Production Sampling,1057.0
721,ISR-Personnel,1057.0
1007,IA-Women's Soccer,1057.0
