id,subaccount,parent_account
1460,Michigan Medicine,1
1458,Ready-Made Template,1
116,School Of Art And Design,1
1314,ADVANCE Program,1
874,Navy Officer Education Program,1
1421,Digital Media Commons (DMC),1
976,Ross Sch Erb Institute,1
1155,Taubman Health Sciences Library,1
502,Army Officer Education Program,1
1215,U-M Human Resources,1
1205,Wolverine Pathways,1
1057,Non Academic Program Courses,1
306,Test Account,1
107,Center for Academic Innovation,1
1180,Facilities and Operations Services,1
118,Law School,1
1153,Division of Public Safety and Security,1
52,School Of Nursing,1
1105,University Human Resources,1
1062,Shared Services Center,1
1224,Wolverine Wellness,1
89,Student Life,1
1055,Practice Course Sub-Account,1
1232,U-M Library,1
47,School of Kinesiology,1
113,College Of Engineering,1
303,Center for Research on Learning & Teaching,1
126,Office Of The President,1
1164,Institute of Continuing Legal Education (ICLE),1
1176,Office of Research & Sponsored Programs,1
125,Office Of Vp For Research,1
124,Registrar's Office,1
112,"College of Lit, Sci, and Arts",1
90,ITS,1
1212,Mcity,1
1246,Graham Sustainability Institute,1
1066,Migration Sandboxes,1
114,Medical School,1
56,School of Business Admin,1
1200,Student Study Groups,1
1119,Unizin EAP,1
55,Fall 2014 Pilot Instructors,1
1203,Respondus Test Account,1
46,College Of Pharmacy,1
1190,University of Michigan Catalog,1
51,School of Information,1
1430,Undergrad Research  Opportunity Prg (UROP),1
1288,Reports,1
1170,Athletic Department,1
1112,Data,1
45,"School of Music, Theatre & Dance",1
123,Off Provost & Exec Vp Acad Aff,1
120,School Of Public Health,1
50,Marsal Family School Of Education,1
1059,Migrated Courses,1
501,Air Force Officer Education Pg,1
1437,Master Templates,1
109,JZ Admin Test,1
115,College of Arch & Urb Planning,1
49,School Of Social Work,1
1245,Interprofessional Education,1
1247,Survey Research Operations (SRO),1
1306,Conference & Event Services,1
121,School Of Public Policy,1
1192,Placement Exams,1
1301,Office of New Student Programs,1
119,School for Environment and Sustainability,1
1309,Conferences & Events,1
2,Manually-Created Courses,1
1072,Google Analytics (for courses using GA to track content views),1
122,Graduate School,1
1213,Michigan Medicine Nursing Professional Development & Education,1
117,School Of Dentistry,1
54,Medical School (UMMS),1
1286,Institute for Social Research,1
36,Pilot,1
1304,ICPSR Courses,1286
1297,Sandbox,1296
1450,ONSP Other,1301
1445,Advisors 2021 Orientation,1301
1449,ONSP 2020 Orientation,1301
1303,Advisors 2020 Orientation,1301
1474,Advisors 2023 Orientation,1301
1462,Advisors 2022 Orientation,1301
1463,ONSP 2022 Orientation,1301
1447,ONSP 2021 Orientation,1301
1426,Taubman Orientation Program,1303
1310,Intergroup Relations (Branded),1309
1597,EPID Summer Session,286
731,RCGD-Elections & Ethnicity,1057
687,Career Planning And Placement,1057
849,Pediatrics-Nephrology,1057
839,Coe Meam Academic Services Off,1057
677,SRC-Ds-Production Sampling,1057
721,ISR-Personnel,1057
1007,IA-Women's Soccer,1057
611,Development-Phone Center,1057
729,RCGD-Aging Research,1057
567,SOE-Cshpe,1057
423,Coe Caen Service Center,1057
379,Michigan Journalism Fellows,1057
485,Off Acad Multicultural Init,1057
980,COE EECS - ECE - SSEL,1057
647,Pediatrics-Hematology/Oncology,1057
434,Int Med-Gastroenterology,1057
272,Dean'S Office-Dentistry,1057
885,SRC-Seh-Price,1057
530,Umtri-Osat Manufacturing,1057
486,Ctr For Res On Learn & Teach,1057
648,Pediatrics-Clinic,1057
981,COE EECS - ECE - WIMS - ERC,1057
716,Services For Students With Dis,1057
392,Coe Eecs-Ssel,1057
554,Umbs Erb Institute (Cemp),1057
879,Howard Hughes Medical Ins Spac,1057
428,Medical School Basic Sciences,1057
761,SRC-Other,1057
357,Vice Provost For The Arts,1057
852,Pediatrics-Pulmunary Medicine,1057
195,Botanical Gardens,1057
690,Student Legal Services,1057
519,Community Health Programs Dept,1057
363,Umtri-Human Factors,1057
525,Health Serv Research Initiativ,1057
426,Biomedical Research Core Facil,1057
921,UMH Geriatrics Center,1057
264,Biologic And Materials Science,1057
877,Student Activities (Fee Alloc),1057
560,Academic/Admin Support-Dentist,1057
1000,ROSS SCH Marketing,1057
722,ISR-Library,1057
678,SRC-Ds-Control Office,1057
858,SRC-Project Services,1057
740,SRC-Economic Behavior,1057
407,Coe Glmac,1057
696,President'S House Operations,1057
902,Coe Minority Eng Prog Off,1057
650,Psychiatry Child Services,1057
768,SRC-Seh-Vinokur,1057
1046,Campus-Wide Ctr for Entrepren,1057
812,Inst Org - Hospital,1057
953,Anthro-History,1057
458,M-Care,1057
340,Patient Services Dentistry,1057
791,Pop Plan & International Healt,1057
296,Michigan Union,1057
534,Periodontics-Dentistry,1057
372,ISR-Accounting,1057
985,LSA UG: Hlth. Science Scholars,1057
873,Affirmative Action Office,1057
260,Umbs Computing Services,1057
378,Grad Sch-Academy Of Sciences,1057
422,Coe Capital/Facilities,1057
334,Psychiatry Child Administratio,1057
785,Sch Of Info-Administration,1057
947,CoE Ctr for Entrepreneurship,1057
635,Construction & Arch Trades,1057
473,SON-(Div I) Division Of Acute,1057
324,Operative Dentistry,1057
937,MSA Immunology,1057
775,Substance Abuse Center,1057
1053,ROSS SCH Dev&Alum Rltns-Oprtns,1057
765,SRC-Organizational Behavior,1057
1043,IA-Women's Lacrosse,1057
927,SI Associate Dean Research,1057
742,SRC-Social-Envir Studies,1057
698,Development Research,1057
1020,IA-Women's Rowing,1057
904,Coe Eng Undergrad Admiss/Recru,1057
580,Treasurer'S Office,1057
409,Coe Eecs-Acal,1057
710,Michigan Union Ticket Office,1057
666,Cognitive Science&Mach Intelli,1057
828,Wuom/Michigan Radio,1057
215,COE EECS - CSE Division,1057
789,"Sch Of Info-Std Rec, Ret & Plc",1057
833,Coe Wu Manuf Research Center,1057
338,Radiology Department,1057
671,Intergroup Relations,1057
1044,IA-Compliance Services Office,1057
928,SI Associate Dean Prof Prgms,1057
766,SRC-Social Envir & Health,1057
810,Inst Org - Ann Arbor,1057
543,Law Develop & Alumni Relations,1057
994,CoE Office of Student Affairs,1057
499,Sch Of Info - Crew,1057
381,Michigan Society Of Fellows,1057
705,Student Organization Acct Serv,1057
1025,IA-Academic Success Program,1057
747,SRC-Summer Institute,1057
585,Office Of Assoc Vp For Finance,1057
134,LSA UG:  IDEA Institute,1057
909,Executive MBA,1057
634,Mntce Services Admin & Enginee,1057
472,SON-Academic Affairs,1057
823,Development Trusts & Bequests,1057
210,Computer Aided Engr Network,1057
779,Law Career Services,1057
328,Psych Msrb/Other,1057
661,Inst Org - Ann Arbor Auxiliary,1057
707,Student Wood Shop,1057
545,SON-(Div Iii) Division Of Nurs,1057
996,SON Development Office,1057
417,Coe Eecs-Its,1057
750,Global Change Program,1057
868,Predoctoral Studies-Dentistry,1057
912,East Asian Management Dev Ctr,1057
862,East Quad,1057
