id,subaccount,parent_account,School_College
1460,Michigan Medicine,1,Michigan Medicine
1458,Ready-Made Template,1,Ready-Made Template
116,School Of Art And Design,1,School Of Art And Design
1314,ADVANCE Program,1,ADVANCE Program
874,Navy Officer Education Program,1,Navy Officer Education Program
1421,Digital Media Commons (DMC),1,Digital Media Commons (DMC)
976,Ross Sch Erb Institute,1,Ross Sch Erb Institute
1155,Taubman Health Sciences Library,1,Taubman Health Sciences Library
502,Army Officer Education Program,1,Army Officer Education Program
1215,U-M Human Resources,1,U-M Human Resources
1205,Wolverine Pathways,1,Wolverine Pathways
1057,Non Academic Program Courses,1,Non Academic Program Courses
306,Test Account,1,Test Account
107,Center for Academic Innovation,1,Center for Academic Innovation
1180,Facilities and Operations Services,1,Facilities and Operations Services
118,Law School,1,Law School
1153,Division of Public Safety and Security,1,Division of Public Safety and Security
52,School Of Nursing,1,School Of Nursing
1105,University Human Resources,1,University Human Resources
1062,Shared Services Center,1,Shared Services Center
1224,Wolverine Wellness,1,Wolverine Wellness
89,Student Life,1,Student Life
1055,Practice Course Sub-Account,1,Practice Course Sub-Account
1232,U-M Library,1,U-M Library
47,School of Kinesiology,1,School of Kinesiology
113,College Of Engineering,1,College Of Engineering
303,Center for Research on Learning & Teaching,1,Center for Research on Learning & Teaching
126,Office Of The President,1,Office Of The President
1164,Institute of Continuing Legal Education (ICLE),1,Institute of Continuing Legal Education (ICLE)
1176,Office of Research & Sponsored Programs,1,Office of Research & Sponsored Programs
125,Office Of Vp For Research,1,Office Of Vp For Research
124,Registrar's Office,1,Registrar's Office
112,"College of Lit, Sci, and Arts",1,"College of Lit, Sci, and Arts"
90,ITS,1,ITS
1212,Mcity,1,Mcity
1246,Graham Sustainability Institute,1,Graham Sustainability Institute
1066,Migration Sandboxes,1,Migration Sandboxes
114,Medical School,1,Medical School
56,School of Business Admin,1,School of Business Admin
1200,Student Study Groups,1,Student Study Groups
1119,Unizin EAP,1,Unizin EAP
55,Fall 2014 Pilot Instructors,1,Fall 2014 Pilot Instructors
1203,Respondus Test Account,1,Respondus Test Account
46,College Of Pharmacy,1,College Of Pharmacy
1190,University of Michigan Catalog,1,University of Michigan Catalog
51,School of Information,1,School of Information
1430,Undergrad Research  Opportunity Prg (UROP),1,Undergrad Research  Opportunity Prg (UROP)
1288,Reports,1,Reports
1170,Athletic Department,1,Athletic Department
1112,Data,1,Data
45,"School of Music, Theatre & Dance",1,"School of Music, Theatre & Dance"
123,Off Provost & Exec Vp Acad Aff,1,Off Provost & Exec Vp Acad Aff
120,School Of Public Health,1,School Of Public Health
50,Marsal Family School Of Education,1,Marsal Family School Of Education
1059,Migrated Courses,1,Migrated Courses
501,Air Force Officer Education Pg,1,Air Force Officer Education Pg
1437,Master Templates,1,Master Templates
109,JZ Admin Test,1,JZ Admin Test
115,College of Arch & Urb Planning,1,College of Arch & Urb Planning
49,School Of Social Work,1,School Of Social Work
1245,Interprofessional Education,1,Interprofessional Education
1247,Survey Research Operations (SRO),1,Survey Research Operations (SRO)
1306,Conference & Event Services,1,Conference & Event Services
121,School Of Public Policy,1,School Of Public Policy
1192,Placement Exams,1,Placement Exams
1301,Office of New Student Programs,1,Office of New Student Programs
119,School for Environment and Sustainability,1,School for Environment and Sustainability
1309,Conferences & Events,1,Conferences & Events
2,Manually-Created Courses,1,Manually-Created Courses
1072,Google Analytics (for courses using GA to track content views),1,Google Analytics (for courses using GA to track content views)
122,Graduate School,1,Graduate School
1213,Michigan Medicine Nursing Professional Development & Education,1,Michigan Medicine Nursing Professional Development & Education
117,School Of Dentistry,1,School Of Dentistry
54,Medical School (UMMS),1,Medical School (UMMS)
1286,Institute for Social Research,1,Institute for Social Research
36,Pilot,1,Pilot
1304,ICPSR Courses,1286,ICPSR Courses
1297,Sandbox,1296,Sandbox
1450,ONSP Other,1301,ONSP Other
1445,Advisors 2021 Orientation,1301,Advisors 2021 Orientation
